product_id,fraud_label,listed_price,original_price,seller_rating,rating_count,item_rating,item_rating_count,review1_rating,review2_rating,price_deviation,price_ratio,abnormal_discount,review_rating_diff,seller_item_rating_gap,listed_price_scaled,original_price_scaled,price_deviation_scaled,price_ratio_scaled,seller_rating_scaled,rating_count_scaled,item_rating_scaled,item_rating_count_scaled,review1_rating_scaled,review2_rating_scaled,review_rating_diff_scaled,seller_item_rating_gap_scaled
001596,0,1535.0,79.99,4.9,46.0,4.1,17.0,5.0,5.0,-1818.9898737342169,19.18989873734217,0,0.0,0.8000000000000007,0.6147672552166934,0.030198256371952562,0.0,1.0,0.005895256375102825,6.870506807101737e-08,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0011020801763328293
001597,0,1125.95,1125.95,4.5,91.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.40000000000000036,0.4506219903691814,0.45022708928162686,0.9496360814694962,0.05036391853050386,0.005346860433232794,1.359165477057083e-07,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0005510400881664146
001598,0,1129.95,1129.95,5.0,96.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.9000000000000004,0.45222712680577853,0.45183337951417757,0.9496360814694962,0.05036391853050386,0.006032355360570333,1.433844898873406e-07,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0012398401983744322
001599,0,1129.95,1129.95,5.0,96.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.9000000000000004,0.45222712680577853,0.45183337951417757,0.9496360814694962,0.05036391853050386,0.006032355360570333,1.433844898873406e-07,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0012398401983744322
001600,0,1199.99,1199.99,4.5,167.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.40000000000000036,0.48033306581059393,0.47995952148613974,0.9496360814694962,0.05036391853050386,0.005346860433232794,2.494292688665196e-07,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0005510400881664146
001601,0,1499.99,1499.99,4.5,21.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.40000000000000036,0.6007182985553772,0.6004312889274399,0.9496360814694962,0.05036391853050386,0.005346860433232794,3.136535716285576e-08,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0005510400881664146
001602,0,1539.99,1539.99,4.0,56.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.09999999999999964,0.6167696629213483,0.6164941912529466,0.9496360814694962,0.05036391853050386,0.004661365505895256,8.364095243428202e-08,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.00013776002204160304
001603,0,1549.0,1549.0,4.5,18.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.40000000000000036,0.6203852327447833,0.620112360001767,0.9496360814694962,0.05036391853050386,0.005346860433232794,2.6884591853876366e-08,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0005510400881664146
001604,0,1550.0,1550.0,4.0,2282.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.09999999999999964,0.6207865168539326,0.6205139325599046,0.9496360814694962,0.05036391853050386,0.004661365505895256,3.4083688116969924e-06,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.00013776002204160304
001605,0,2296.68,2296.68,3.5,66.0,4.1,17.0,5.0,5.0,0.0,1.0,0,0.0,0.5999999999999996,0.9204173354735152,0.9203601302701377,0.9496360814694962,0.05036391853050386,0.0039758705785577185,9.857683679754667e-08,0.7749999999999999,4.767793554539088e-05,1.0,1.0,0.0,0.0008265601322496207
001606,0,110.0,199.99,4.9,46.0,4.1,267.0,5.0,5.0,44.99724986249313,0.5500275013750687,0,0.0,0.8000000000000007,0.04293739967897271,0.07838696334847263,0.9731276976974629,0.026872302302537173,0.005895256375102825,6.870506807101737e-08,0.7749999999999999,0.0007926456784421235,1.0,1.0,0.0,0.0011020801763328293
001607,0,87.39,87.39,4.0,2282.0,4.1,267.0,5.0,5.0,0.0,1.0,0,0.0,0.09999999999999964,0.03386436597110754,0.0331698933021713,0.9496360814694962,0.05036391853050386,0.004661365505895256,3.4083688116969924e-06,0.7749999999999999,0.0007926456784421235,1.0,1.0,0.0,0.00013776002204160304
001608,0,90.0,90.0,5.0,1850.0,4.1,267.0,5.0,5.0,0.0,1.0,0,0.0,0.9000000000000004,0.034911717495987156,0.03421799767891061,0.9496360814694962,0.05036391853050386,0.006032355360570333,2.76313860720396e-06,0.7749999999999999,0.0007926456784421235,1.0,1.0,0.0,0.0012398401983744322
001609,0,65.0,65.0,5.0,4463.0,3.9,43.0,5.0,1.0,0.0,1.0,0,4.0,1.1,0.024879614767255216,0.024178683725468938,0.9496360814694962,0.05036391853050386,0.006032355360570333,6.665885191325012e-06,0.725,0.00012515458080665108,1.0,0.0,1.0,0.001515360242457639
001610,0,55.05,55.05,4.0,1761.0,3.9,43.0,5.0,1.0,0.0,1.0,0,4.0,0.10000000000000009,0.0208868378812199,0.020183036771999147,0.9496360814694962,0.05036391853050386,0.004661365505895256,2.630209236370904e-06,0.725,0.00012515458080665108,1.0,0.0,1.0,0.00013776002204160366
001611,0,84.99,84.99,3.5,2312.0,3.9,43.0,5.0,1.0,0.0,1.0,0,4.0,0.3999999999999999,0.032901284109149276,0.0322061191626409,0.9496360814694962,0.05036391853050386,0.0039758705785577185,3.4531764647867865e-06,0.725,0.00012515458080665108,1.0,0.0,1.0,0.000551040088166414
001612,0,465.0,465.0,5.0,4.6,4.4270036991368675,1114.0,4.8822784810126585,4.8291859974694225,0.0,1.0,0,0.053092483543236035,0.5729963008631325,0.1853932584269663,0.18480770698053578,0.9496360814694962,0.05036391853050386,0.006032355360570333,6.870506807101737e-09,0.8567509247842169,0.0033165963913762532,0.9705696202531646,0.9572964993673556,0.013273120885809009,0.0007893598303666242
